ControlT,CanopyT_1,CanopyT1.5_1,CanopyT_2,CanopyT1.5_2,CanopyT_3,CanopyT1.5_3,CanopyT_4,CanopyT1.5_4,AT1,AT2,AT3,AT4,AT5,AT6,AT7,AT8
14.6,13.3,13.2,13.4,13.4,13.6,13.5,13.9,13.9,1.3,1.4,1.2,1.2,1,1.1,0.7,0.7
15,14,13.9,14.1,14,14.5,14.4,14.6,14.6,1,1.1,0.9,1,0.5,0.6,0.4,0.4
16.7,16.1,15.8,16.1,16.1,16.5,16.4,16.5,16.3,0.6,0.9,0.6,0.6,0.2,0.3,0.2,0.4
17.5,16.8,16.6,17,17,17.1,17,17.3,17.2,0.7,0.9,0.5,0.5,0.4,0.5,0.2,0.3
16.3,15,14.9,15.5,15.4,15.8,15.7,15.9,15.7,1.3,1.4,0.8,0.9,0.5,0.6,0.4,0.6
16.2,15.1,15,15.3,15.1,15.5,15.4,15.6,15.5,1.1,1.2,0.9,1.1,0.7,0.8,0.6,0.7
15,14.4,14.1,14.5,14.4,14.6,14.5,14.4,14.3,0.6,0.9,0.5,0.6,0.4,0.5,0.6,0.7
15.3,14.6,14.4,15,15,15.1,15,15.2,15.1,0.7,0.9,0.3,0.3,0.2,0.3,0.1,0.2
17.1,16.1,15.9,16.5,16.5,16.6,16.5,16.7,16.7,1,1.2,0.6,0.6,0.5,0.6,0.4,0.4
17.6,16.6,16.5,16.6,16.6,16.7,16.7,16.8,16.7,1,1.1,1,1,0.9,0.9,0.8,0.9
16.6,15.5,15.2,15.5,15.4,15.6,15.5,15.8,15.7,1.1,1.4,1.1,1.2,1,1.1,0.8,0.9
16.7,15.1,15,15.6,15.6,16.2,16.1,16.4,16.2,1.6,1.7,1.1,1.1,0.5,0.6,0.3,0.5
13,12.1,11.8,12.3,12.3,12.1,12,12.5,12.4,0.9,1.2,0.7,0.7,0.9,1,0.5,0.6
13.1,12.4,12.1,12.6,12.2,12.8,12.7,12.8,12.6,0.7,1,0.5,0.9,0.3,0.4,0.3,0.5
14.6,13.3,13.2,13.4,13.3,14,13.9,14.1,13.9,1.3,1.4,1.2,1.3,0.6,0.7,0.5,0.7
14.7,13.4,13.3,13.5,13.4,14.1,13.8,14.2,14,1.3,1.4,1.2,1.3,0.6,0.9,0.5,0.7
14,13.1,12.8,13.3,13.3,13.6,13.5,13.7,13.7,0.9,1.2,0.7,0.7,0.4,0.5,0.3,0.3
14.3,13.1,13,13.3,13.2,13.8,13.7,14,13.9,1.2,1.3,1,1.1,0.5,0.6,0.3,0.4
15.1,14.2,14.2,14.5,14.4,14.8,14.7,14.9,14.8,0.9,0.9,0.6,0.7,0.3,0.4,0.2,0.3
15.7,14.4,14.3,14.4,14.3,14.8,14.8,15,14.9,1.3,1.4,1.3,1.4,0.9,0.9,0.7,0.8
16.4,14.3,14.1,14.7,14.6,15,14.8,15.7,15.5,2.1,2.3,1.7,1.8,1.4,1.6,0.7,0.9
16.5,15.9,15.8,16.1,16.1,16.2,16.1,16.4,16.3,0.6,0.7,0.4,0.4,0.3,0.4,0.1,0.2
15.4,14.3,14.3,14.6,14.5,14.8,14.7,15,14.9,1.1,1.1,0.8,0.9,0.6,0.7,0.4,0.5
14.9,13.9,13.8,14,14,14.5,14.3,14.6,14.5,1,1.1,0.9,0.9,0.4,0.6,0.3,0.4
17.7,16.8,16.7,16.9,16.8,17,16.9,17.2,17,0.9,1,0.8,0.9,0.7,0.8,0.5,0.7
17.9,16.9,16.8,17,17,17.5,17.3,17.7,17.6,1,1.1,0.9,0.9,0.4,0.6,0.2,0.3
19.5,18.8,18.6,18.9,18.9,19,18.9,19.1,19,0.7,0.9,0.6,0.6,0.5,0.6,0.4,0.5
19.5,18.9,18.8,19.1,19.1,19.3,19.1,19.4,19.2,0.6,0.7,0.4,0.4,0.2,0.4,0.1,0.3
19.7,18.6,18.6,19.3,19.2,19.5,19.4,19.6,19.5,1.1,1.1,0.4,0.5,0.2,0.3,0.1,0.2
19.5,18.4,18.3,18.6,18.6,18.8,18.7,19,18.9,1.1,1.2,0.9,0.9,0.7,0.8,0.5,0.6
15.6,14.8,14.5,15,14.9,15.1,15,15.2,15.1,0.8,1.1,0.6,0.7,0.5,0.6,0.4,0.5
15.4,13.8,13.8,14.8,14.7,15,14.8,15.1,15,1.6,1.6,0.6,0.7,0.4,0.6,0.3,0.4
18.5,17.9,17.7,17.9,17.8,18,17.9,18.1,18,0.6,0.8,0.6,0.7,0.5,0.6,0.4,0.5
19.1,18,17.9,18.3,18.2,18.4,18.3,18.6,18.5,1.1,1.2,0.8,0.9,0.7,0.8,0.5,0.6
18,16.7,16.6,16.9,16.8,17.2,17,17.5,17.3,1.3,1.4,1.1,1.2,0.8,1,0.5,0.7
17.9,17,16.8,17.3,17.1,17.5,17.3,17.6,17.5,0.9,1.1,0.6,0.8,0.4,0.6,0.3,0.4
16.1,14.8,14.7,14.8,15,15.4,15.3,15.8,15.6,1.3,1.4,1.3,1.1,0.7,0.8,0.3,0.5
16.4,15.9,15.6,15.9,15.7,16,15.9,16.2,16,0.5,0.8,0.5,0.7,0.4,0.5,0.2,0.4
20.1,19,18.9,19.2,19.1,19.5,19.3,19.6,19.5,1.1,1.2,0.9,1,0.6,0.8,0.5,0.6
20.8,19.9,19.7,19.9,19.8,20.2,20,20.3,20.1,0.9,1.1,0.9,1,0.6,0.8,0.5,0.7
21,19.9,19.8,20.1,20.1,20.3,20.2,20.4,20.2,1.1,1.2,0.9,0.9,0.7,0.8,0.6,0.8
20.7,19.7,19.6,19.9,19.7,20,19.9,20.2,20,1,1.1,0.8,1,0.7,0.8,0.5,0.7
18.4,17.6,17.3,17.8,17.7,17.6,17.6,18,17.9,0.8,1.1,0.6,0.7,0.8,0.8,0.4,0.5
18.5,17.8,17.6,17.9,17.7,18,17.9,18.2,18.1,0.7,0.9,0.6,0.8,0.5,0.6,0.3,0.4
21,19,18.7,20.5,20.3,20.6,20.5,20.8,20.6,2,2.3,0.5,0.7,0.4,0.5,0.2,0.4
21.2,20.7,20.6,20.9,20.8,20.9,20.8,21,21,0.5,0.6,0.3,0.4,0.3,0.4,0.2,0.2
19.4,18.8,18.7,19,18.9,19.1,19,19.2,19.1,0.6,0.7,0.4,0.5,0.3,0.4,0.2,0.3
19.3,18.8,18.8,18.9,18.8,18.9,18.9,19,18.9,0.5,0.5,0.4,0.5,0.4,0.4,0.3,0.4
15,14.4,14.2,14.5,14.5,14.6,14.5,14.7,14.5,0.6,0.8,0.5,0.5,0.4,0.5,0.3,0.5
15.4,14.6,14.5,14.7,14.6,14.8,14.7,15,14.9,0.8,0.9,0.7,0.8,0.6,0.7,0.4,0.5
15.8,14.9,14.7,14.9,14.8,15,14.9,15.1,14.9,0.9,1.1,0.9,1,0.8,0.9,0.7,0.9
15.7,14.9,14.7,15.1,15.1,15.3,15.1,15.5,15.4,0.8,1,0.6,0.6,0.4,0.6,0.2,0.3
